Номер;Тип;Модель;Типоразмер;Диаметр ММ;Производительность м3/с;Давление(па);Мощность(ВТ);Уровень шума;Цена в рублях;nominal_rpm;pressure_coefficients;efficiency_coefficients;Num;h ed;D;D1;d;n;L;L1 max;L2;l;b;d1;B;H1;H
V13-284-7.1-10-20-7.190L4;Осевой;ВО 13-284-10/20°-7,1-90L4;90L4;720;2.30 - 5.30;310 - 140;2200;-;-;1400;-;-;10;71 - 132, 160;720;760;10;16;385;500;325;30;580;15;790;810;410
V13-284-7.1-10-25-7.1100S4;Осевой;ВО 13-284-10/25°-7,1-100S4;100S4;720;2.90 - 6.40;365 - 190;3000;-;-;1400;-;-;10;71 - 132, 160;720;760;10;16;385;500;325;30;580;15;790;810;410
V13-284-7.1-10-30-7.1100L4;Осевой;ВО 13-284-10/30°-7,1-100L4;100L4;720;4.10 - 6.80;365 - 230;4000;-;-;1400;-;-;10;71 - 132, 160;720;760;10;16;385;500;325;30;580;15;790;810;410
V13-284-8-4-15-880A6;Осевой;ВО 13-284-4/15°-8-80A6;80A6;810;1.30 - 3.70;90 - 40;750;-;-;910;-;-;4;80 - 100, 112 - 160;810;850;10;16;385;485;325;30;650;15;880;900;455
V13-284-8-4-20-880A6;Осевой;ВО 13-284-4/20°-8-80A6;80A6;810;1.90 - 4.30;105 - 55;750;-;-;910;-;-;4;80 - 100, 112 - 160;810;850;10;16;385;485;325;30;650;15;880;900;455
V13-284-8-4-25-880A6;Осевой;ВО 13-284-4/25°-8-80A6;80A6;810;2.80 - 5.00;110 - 75;750;-;-;910;-;-;4;80 - 100, 112 - 160;810;850;10;16;385;485;325;30;650;15;880;900;455
V13-284-8-4-15-880A4;Осевой;ВО 13-284-4/15°-8-80A4;80A4;810;2.00 - 5.50;205 - 90;1100;-;-;1370;-;-;4;80 - 100, 112 - 160;810;850;10;16;385;485;325;30;650;15;880;900;455
V13-284-8-4-20-880B4;Осевой;ВО 13-284-4/20°-8-80B4;80B4;810;2.90 - 6.50;235 - 130;1500;-;-;1370;-;-;4;80 - 100, 112 - 160;810;850;10;16;385;485;325;30;650;15;880;900;455
V13-284-8-4-25-890L4;Осевой;ВО 13-284-4/25°-8-90L4;90L4;810;4.20 - 7.70;269 - 180;2200;-;-;1400;-;-;4;80 - 100, 112 - 160;810;850;10;16;385;485;325;30;650;15;880;900;455
V13-284-8-4-30-8100S4;Осевой;ВО 13-284-4/30°-8-100S4;100S4;810;5.90 - 8.60;270 - 230;3000;-;-;1400;-;-;4;80 - 100, 112 - 160;810;850;10;16;385;485;325;30;650;15;880;900;455
V13-284-8-6-15-880A6;Осевой;ВО 13-284-6/15°-8-80A6;80A6;810;1.50 - 3.90;120 - 45;750;-;-;910;-;-;6;80 - 100, 112 - 160;810;850;10;16;385;485;325;30;650;15;880;900;455
